zip_code,stab,complaint_volume,total_population,median_age,total_housing_units,avg_pct_broadband_25_3,avg_pct_broadband_100_20
73949,TX,0.0,1472,39.3,1472,0.0,0.0
73960,TX,0.0,4,,4,0.40709999999999996,0.40709999999999996
75001,TX,18.0,16808,35.3,16808,2.934,2.934
75002,TX,47.0,73295,39.8,73295,9.6508,9.6508
75006,TX,31.0,47648,36.4,47648,1.0749,1.0749
75007,TX,33.0,55050,40.1,55050,1.1852,1.1852
75009,TX,28.0,30257,37.6,30257,5.932,5.932
75010,TX,28.0,31687,38.3,31687,1.0223,1.0223
75013,TX,34.0,48557,38.9,48557,1.3866,1.3866
75019,TX,49.0,44707,39.6,44707,3.006,3.006
75020,TX,15.0,24185,40.9,24185,3.4232,3.4232
75021,TX,5.0,9307,40.9,9307,0.5768,0.5768
75022,TX,18.0,26691,43.2,26691,1.912,1.912
75023,TX,40.0,48878,39.2,48878,0.6552,0.6552
75024,TX,27.0,45051,37.6,45051,0.6372,0.6372
75025,TX,25.0,53352,40.7,53352,0.7448,0.7448
75028,TX,32.0,48636,43.2,48636,2.5755999999999997,2.5755999999999997
75032,TX,37.0,37895,40.2,37895,9.2204,9.2204
75033,TX,15.0,50292,36.7,50292,1.0375999999999999,1.0375999999999999
75034,TX,42.0,51059,36.1,51059,0.9524,0.9524
75035,TX,47.0,86135,38.1,86135,1.6476,1.6476
75036,TX,19.0,32726,41.4,32726,3.6048,3.6048
75038,TX,22.0,33097,32.7,33097,0.5132,0.5132
75039,TX,24.0,22450,32.4,22450,0.3828,0.3828
75040,TX,37.0,64205,36.1,64205,1.0412,1.0412
75041,TX,5.0,31981,30.8,31981,0.524,0.524
75042,TX,11.0,38040,34.2,38040,0.6364,0.6364
75043,TX,32.0,63733,35.0,63733,1.0384,1.0384
75044,TX,25.0,46847,35.9,46847,0.7494999999999999,0.7494999999999999
75048,TX,15.0,29600,40.2,29600,4.0158,4.0158
75050,TX,21.0,44402,31.6,44402,0.888,0.888
75051,TX,10.0,40263,31.6,40263,0.7832,0.7832
75052,TX,28.0,95485,34.7,95485,1.9628,1.9628
75054,TX,2.0,17517,36.5,17517,0.3192,0.3192
75056,TX,36.0,67978,36.8,67978,7.0278,7.0278
75057,TX,13.0,16836,31.5,16836,0.5724,0.5724
75058,TX,3.0,3614,36.8,3614,2.9882999999999997,2.9882999999999997
75060,TX,18.0,47170,35.0,47170,0.7556,0.7556
75061,TX,10.0,55839,32.0,55839,0.87,0.87
75062,TX,16.0,52756,31.0,52756,0.7864,0.7864
75063,TX,32.0,45486,34.0,45486,0.726,0.726
75065,TX,13.0,13046,40.0,13046,7.0028,7.0028
75067,TX,38.0,68451,35.1,68451,2.4588,2.4588
75068,TX,108.0,70562,35.6,70562,14.078,14.078
75069,TX,34.0,39332,39.2,39332,8.0304,8.006493511957501
75070,TX,42.0,59859,35.7,59859,1.182,1.182
75071,TX,39.0,69396,37.3,69396,4.166,4.166
75072,TX,28.0,55997,38.6,55997,1.1336,1.1336
75074,TX,26.0,53146,35.0,53146,0.7428,0.7428
75075,TX,24.0,38041,40.0,38041,0.5128,0.5128
75076,TX,4.0,7907,49.6,7907,6.0,6.0
75077,TX,14.0,40883,40.5,40883,10.6096,10.6096
75078,TX,114.0,46857,36.1,46857,4.75,4.75
75080,TX,17.0,52746,31.4,52746,1.3467,1.3467
75081,TX,18.0,36065,35.3,36065,0.9482999999999999,0.9482999999999999
75082,TX,16.0,29458,36.5,29458,0.7047,0.7047
75087,TX,32.0,41786,38.4,41786,7.466,7.466
75088,TX,20.0,27128,39.4,27128,1.7204,1.7204
75089,TX,11.0,35400,36.5,35400,2.194,2.194
75090,TX,11.0,26273,34.1,26273,1.8648,1.8648
75092,TX,16.0,27372,41.9,27372,7.2825,7.2825
75093,TX,33.0,46491,43.6,46491,0.6874,0.6874
75094,TX,17.0,23669,40.2,23669,3.3529999999999998,3.3529999999999998
75098,TX,40.0,67513,34.9,67513,10.647,10.647
75101,TX,0.0,786,30.3,786,3.0,3.0
75102,TX,3.0,1722,39.8,1722,3.0,3.0
75103,TX,18.0,16222,43.4,16222,3.0,3.0
75104,TX,29.0,49425,35.0,49425,4.0192,4.0192
75105,TX,0.0,132,24.9,132,0.0,0.0
75109,TX,1.0,5115,44.8,5115,11.1787,11.1787
75110,TX,19.0,31003,34.2,31003,14.8213,14.8213
75114,TX,12.0,7664,33.4,7664,3.0,3.0
75115,TX,28.0,55997,42.0,55997,4.0013000000000005,4.0013000000000005
75116,TX,4.0,19780,35.6,19780,1.5221999999999998,1.5221999999999998
75117,TX,1.0,5005,34.6,5005,3.0,3.0
75119,TX,9.0,30809,35.7,30809,13.678,13.678
75124,TX,13.0,5799,43.0,5799,3.7384,3.7384
75125,TX,2.0,7154,38.7,7154,4.0096,4.0096
75126,TX,62.0,77116,31.8,77116,12.596,12.596
75127,TX,1.0,1753,53.0,1753,3.0,3.0
75132,TX,0.0,0,,0,0.03,0.03
75134,TX,9.0,18305,36.5,18305,1.954,1.9533369291515
75135,TX,8.0,10265,35.5,10265,3.0351,3.0351
75137,TX,6.0,19998,40.2,19998,1.4758,1.4758
75140,TX,6.0,8596,41.6,8596,3.0,3.0
75141,TX,2.0,4686,26.6,4686,3.6496,3.6496
75142,TX,29.0,23301,35.6,23301,11.5018,11.5018
75143,TX,36.0,14676,41.4,14676,11.236,11.236
75144,TX,3.0,3798,40.6,3798,7.3635,7.3635
75146,TX,7.0,25804,33.7,25804,5.1012,5.100506388529
75147,TX,25.0,8403,36.8,8403,3.424,3.424
75148,TX,12.0,5944,51.1,5944,12.0,12.0
75149,TX,13.0,58849,34.1,58849,1.6572,1.6572
75150,TX,17.0,63023,33.5,63023,1.722,1.722
75152,TX,3.0,5563,37.3,5563,3.3192,3.3192
75153,TX,0.0,530,37.7,530,1.6364999999999998,1.6364999999999998
75154,TX,10.0,50178,37.1,50178,16.626,16.626
75155,TX,2.0,3034,34.0,3034,3.0,3.0
75156,TX,60.0,15742,49.2,15742,10.6012,10.6012
75157,TX,0.0,161,52.4,161,2.5713,2.5713
75158,TX,4.0,6168,37.5,6168,9.4287,9.4287
75159,TX,18.0,22993,36.6,22993,6.994400000000001,6.994400000000001
75160,TX,30.0,26145,35.9,26145,5.8662,5.8662
75161,TX,3.0,6910,49.3,6910,4.4445,4.4445
75163,TX,10.0,2569,57.8,2569,3.0,3.0
75164,TX,0.0,669,41.6,669,0.41190000000000004,0.41190000000000004
75165,TX,27.0,51203,34.4,51203,6.0952,6.0952
75166,TX,8.0,6679,35.0,6679,4.0,4.0
75167,TX,9.0,13231,37.6,13231,0.31729999999999997,0.31729999999999997
75169,TX,8.0,15744,42.7,15744,6.0,6.0
75172,TX,4.0,5873,34.2,5873,3.9644000000000004,3.9644000000000004
75173,TX,4.0,9284,36.4,9284,5.4298,5.4298
75180,TX,7.0,27006,33.7,27006,2.9105999999999996,2.9105999999999996
75181,TX,13.0,28018,31.6,28018,0.7512000000000001,0.7512000000000001
75182,TX,3.0,8069,42.5,8069,3.9472,3.9472
75189,TX,60.0,44348,34.0,44348,8.6501,8.6501
75201,TX,39.0,18078,31.4,18078,0.0544,0.0544
75202,TX,3.0,2744,35.9,2744,0.0076,0.0076
75203,TX,10.0,15710,33.6,15710,0.0452,0.0452
75204,TX,27.0,33552,31.0,33552,0.1044,0.1044
75205,TX,16.0,25537,32.8,25537,4.2043,4.2043
75206,TX,39.0,38795,30.7,38795,0.124,0.124
75207,TX,4.0,7850,32.1,7850,0.022,0.022
75208,TX,44.0,29310,37.0,29310,0.0904,0.0904
75209,TX,8.0,14359,39.4,14359,0.2972,0.2972
75210,TX,4.0,7458,32.1,7458,0.0268,0.0268
75211,TX,18.0,72389,31.8,72389,3.2052,3.2052
75212,TX,15.0,28010,32.5,28010,0.084,0.084
75214,TX,20.0,35006,38.5,35006,0.1092,0.1092
75215,TX,14.0,18840,37.7,18840,0.0576,0.0576
75216,TX,9.0,54556,33.7,54556,0.1708,0.1708
75217,TX,13.0,84578,28.1,84578,0.2617,0.2617
75218,TX,12.0,22028,40.5,22028,0.0708,0.0708
75219,TX,24.0,25001,33.6,25001,0.3059,0.3059
75220,TX,16.0,39809,31.1,39809,0.1216,0.1216
75223,TX,2.0,11875,37.5,11875,0.0428,0.0428
75224,TX,12.0,35452,34.3,35452,0.1036,0.1036
75225,TX,4.0,22383,47.9,22383,1.3683,1.3683
75226,TX,1.0,5010,32.8,5010,0.014,0.014
75227,TX,11.0,57087,31.4,57087,0.1812,0.1812
75228,TX,23.0,69288,31.3,69288,0.21120000000000003,0.21120000000000003
75229,TX,17.0,33924,37.3,33924,0.19640000000000002,0.19640000000000002
75230,TX,15.0,26695,48.3,26695,0.0852,0.0852
75231,TX,20.0,37695,32.0,37695,0.1248,0.1248
75232,TX,27.0,32967,41.1,32967,0.092,0.092
75233,TX,7.0,15775,30.4,15775,0.0464,0.0464
75234,TX,31.0,32998,33.4,32998,2.4442,2.4442
75235,TX,21.0,19067,31.1,19067,0.0588,0.0588
75236,TX,6.0,19522,29.0,19522,0.0564,0.0564
75237,TX,12.0,18744,30.6,18744,0.0584,0.0584
75238,TX,11.0,33439,35.3,33439,0.1004,0.1004
75240,TX,16.0,24718,30.8,24718,0.0792,0.0792
75241,TX,10.0,33598,33.9,33598,0.4276,0.4275993213195
75243,TX,40.0,63907,33.7,63907,0.1908,0.1908
75244,TX,14.0,13105,37.2,13105,0.42979999999999996,0.42979999999999996
75246,TX,0.0,2487,40.1,2487,0.0076,0.0076
75247,TX,12.0,833,59.1,833,0.0024,0.0024
75248,TX,31.0,37644,40.0,37644,0.1172,0.1172
75249,TX,5.0,17043,32.9,17043,0.0468,0.0468
75251,TX,4.0,3529,31.6,3529,0.0116,0.0116
75252,TX,36.0,28500,38.6,28500,0.0844,0.0844
75253,TX,19.0,23822,27.7,23822,0.0853,0.0853
75254,TX,17.0,24737,32.5,24737,0.2024,0.2024
75261,TX,0.0,0,,0,0.0,0.0
75287,TX,37.0,52727,33.9,52727,0.1632,0.1632
75401,TX,2.0,21904,35.4,21904,5.1792,5.1792
75402,TX,19.0,19848,36.5,19848,1.8268,1.8268
75407,TX,70.0,28931,34.4,28931,4.5176,4.5140561630425
75409,TX,39.0,24381,32.6,24381,7.0,7.0
75410,TX,3.0,3920,57.1,3920,3.0,3.0
75411,TX,0.0,898,41.7,898,0.0,0.0
75412,TX,4.0,459,41.0,459,0.0,0.0
75413,TX,0.0,138,49.8,138,2.4408,2.4408
75414,TX,3.0,3417,38.3,3417,3.0,3.0
75415,TX,0.0,323,48.5,323,0.0,0.0
75416,TX,1.0,2987,37.5,2987,3.0,3.0
75417,TX,12.0,2204,45.4,2204,3.0,3.0
75418,TX,3.0,14685,40.9,14685,4.0,4.0
75420,TX,0.0,1390,34.9,1390,0.0,0.0
75421,TX,1.0,984,26.0,984,6.0,6.0
75422,TX,0.0,2913,45.6,2913,3.0,3.0
75423,TX,0.0,3088,40.5,3088,3.0165,3.0165
75424,TX,2.0,3908,41.7,3908,3.0008,3.0008
75426,TX,6.0,4199,55.3,4199,3.0,3.0
75428,TX,13.0,11587,26.6,11587,4.0,4.0
75429,TX,1.0,0,,0,0.0,0.0
75431,TX,1.0,1924,44.0,1924,3.0,3.0
75432,TX,3.0,3299,39.0,3299,3.0,3.0
75433,TX,0.0,3133,46.3,3133,3.0,3.0
75434,TX,0.0,0,,0,0.0,0.0
75435,TX,0.0,1056,56.0,1056,3.0,3.0
75436,TX,0.0,2387,39.4,2387,3.0,3.0
75437,TX,3.0,1124,36.5,1124,0.0,0.0
75438,TX,0.0,1279,42.2,1279,3.0,3.0
75439,TX,0.0,1016,39.9,1016,3.0,3.0
75440,TX,2.0,7480,47.0,7480,3.0,3.0
75441,TX,0.0,87,72.4,87,0.0,0.0
75442,TX,13.0,10567,39.2,10567,3.0,3.0
75446,TX,1.0,3653,40.8,3653,3.0,3.0
75447,TX,0.0,1041,41.6,1041,0.0,0.0
75448,TX,0.0,683,34.9,683,0.0,0.0
75449,TX,0.0,1000,40.3,1000,3.0675,3.0675
75450,TX,1.0,409,56.2,409,0.0,0.0
75451,TX,3.0,1496,43.9,1496,0.0,0.0
75452,TX,2.0,4949,37.5,4949,3.0381,3.0381
75453,TX,1.0,2832,43.5,2832,3.0290999999999997,3.0290999999999997
75454,TX,135.0,20137,36.1,20137,4.0232,4.0232
75455,TX,15.0,26863,34.0,26863,4.0924,4.0924
75457,TX,4.0,6115,36.9,6115,3.0,3.0
75459,TX,2.0,6620,28.5,6620,5.9785,5.9785
75460,TX,15.0,23717,35.6,23717,3.4308,3.4308
75462,TX,5.0,11651,42.6,11651,7.5692,7.5692
75468,TX,0.0,1133,41.6,1133,0.0,0.0
75469,TX,0.0,438,54.5,438,2.9325,2.9325
75470,TX,0.0,158,54.5,158,3.0,3.0
75471,TX,0.0,1483,38.6,1483,0.0,0.0
75472,TX,5.0,4290,43.9,4290,5.9709,5.9709
75473,TX,0.0,3645,49.8,3645,3.0,3.0
75474,TX,20.0,16813,44.2,16813,9.4215,9.4215
75475,TX,1.0,183,26.5,183,0.0,0.0
75476,TX,0.0,1203,51.3,1203,3.0,3.0
75477,TX,1.0,868,40.4,868,3.0,3.0
75478,TX,0.0,855,40.8,855,0.0,0.0
75479,TX,1.0,2090,40.3,2090,3.0,3.0
75480,TX,4.0,1787,57.6,1787,0.0,0.0
75481,TX,0.0,417,39.4,417,0.0,0.0
75482,TX,14.0,26086,39.6,26086,7.0,7.0
75486,TX,0.0,2821,47.1,2821,0.0,0.0
75487,TX,1.0,1110,48.5,1110,3.0,3.0
75488,TX,0.0,1080,31.0,1080,0.0,0.0
75489,TX,2.0,716,50.0,716,2.9904,2.9904
75490,TX,1.0,3024,40.5,3024,3.0,3.0
75491,TX,1.0,5428,43.3,5428,3.0096,3.0096
75492,TX,0.0,348,45.7,348,3.0,3.0
75493,TX,0.0,777,21.6,777,5.9075999999999995,5.9075999999999995
75494,TX,2.0,11685,43.3,11685,3.0,3.0
75495,TX,5.0,10451,38.5,10451,4.0,4.0
75496,TX,5.0,3066,43.3,3066,3.5046,3.5046
75497,TX,1.0,3794,59.9,3794,3.0,3.0
75501,TX,63.0,34656,38.4,34656,6.6363,6.6363
75503,TX,12.0,27207,38.3,27207,6.6429,6.6429
75550,TX,1.0,506,49.0,506,3.0,3.0
75551,TX,8.0,10768,42.6,10768,4.0,4.0
75554,TX,1.0,2282,43.8,2282,3.0,3.0
75555,TX,0.0,1508,48.3,1508,5.0931,5.0931
75556,TX,0.0,1110,42.8,1110,3.0,3.0
75558,TX,1.0,2160,48.8,2160,0.0,0.0
75559,TX,8.0,5276,46.3,5276,3.0,3.0
75560,TX,2.0,1007,38.1,1007,3.0,3.0
75561,TX,0.0,4954,39.1,4954,5.4803999999999995,5.4803999999999995
75562,TX,0.0,15,53.8,15,0.0,0.0
75563,TX,6.0,3967,51.0,3967,3.0,3.0
75564,TX,0.0,24,,24,0.0,0.0
75565,TX,0.0,250,14.6,250,0.9069,0.9069
75566,TX,1.0,953,29.9,953,3.0,3.0
75567,TX,3.0,3762,45.2,3762,4.9977,4.9977
75568,TX,6.0,2271,45.9,2271,3.0,3.0
75569,TX,1.0,3601,31.8,3601,3.5008,3.5008
75570,TX,11.0,11047,38.5,11047,4.0,4.0
75571,TX,6.0,2345,49.9,2345,3.0,3.0
75572,TX,1.0,2942,44.4,2942,7.0,7.0
75573,TX,0.0,246,31.4,246,0.7422,0.7422
75574,TX,2.0,1286,49.7,1286,0.0,0.0
75601,TX,4.0,15653,38.3,15653,0.7748,0.7748
75602,TX,6.0,20394,32.2,20394,0.7924,0.7924
75603,TX,13.0,6458,41.3,6458,8.1126,8.1126
75604,TX,12.0,31714,33.9,31714,3.0948,3.0948
75605,TX,12.0,34584,39.3,34584,1.0428,1.0428
75630,TX,2.0,2693,51.3,2693,3.0,3.0
75631,TX,4.0,2644,40.1,2644,3.0,3.0
75633,TX,7.0,12999,40.6,12999,4.0,4.0
75638,TX,7.0,5363,41.3,5363,3.0,3.0
75639,TX,0.0,2698,40.4,2698,0.0,0.0
75640,TX,7.0,6338,35.1,6338,0.0,0.0
75641,TX,0.0,77,45.4,77,0.8358000000000001,0.8358000000000001
75642,TX,0.0,50,,50,0.0,0.0
75643,TX,10.0,2072,40.5,2072,3.0,3.0
75644,TX,9.0,12785,40.5,12785,3.4616,3.4616
75645,TX,8.0,10511,44.8,10511,2.9543999999999997,2.9543999999999997
75647,TX,32.0,13457,37.6,13457,16.9384,16.9384
75650,TX,12.0,10233,37.4,10233,4.0,4.0
75651,TX,1.0,2231,42.8,2231,0.0,0.0
75652,TX,4.0,14782,39.4,14782,3.7127999999999997,3.7127999999999997
75654,TX,10.0,12184,40.7,12184,1.6,1.6
75656,TX,1.0,4657,36.5,4657,3.0,3.0
75657,TX,4.0,6842,49.4,6842,6.0,6.0
75658,TX,1.0,24,66.9,24,0.0,0.0
75659,TX,0.0,47,,47,0.0,0.0
75661,TX,3.0,2692,50.2,2692,3.0,3.0
75662,TX,20.0,24570,36.3,24570,5.5524000000000004,5.5524000000000004
75667,TX,0.0,1310,49.4,1310,0.0,0.0
75668,TX,1.0,2409,41.1,2409,3.0,3.0
75669,TX,0.0,1044,38.5,1044,0.0,0.0
75670,TX,13.0,18549,31.1,18549,5.2344,5.2344
75672,TX,8.0,16636,40.9,16636,4.7656,4.7656
75680,TX,0.0,0,,0,0.0,0.0
75681,TX,0.0,2475,47.2,2475,3.0,3.0
75682,TX,0.0,713,57.4,713,1.7004,1.7004
75683,TX,3.0,3713,41.9,3713,3.0,3.0
75684,TX,6.0,7655,33.2,7655,4.2918,4.2918
75686,TX,17.0,13427,37.8,13427,6.0,6.0
75687,TX,0.0,0,,0,0.0,0.0
75689,TX,0.0,71,58.3,71,0.0,0.0
75691,TX,7.0,4673,38.5,4673,3.7396000000000003,3.7396000000000003
75692,TX,1.0,5255,48.1,5255,3.0,3.0
75693,TX,7.0,5915,35.4,5915,5.3876,5.3876
75701,TX,42.0,35804,34.9,35804,1.3016,1.3016
75702,TX,20.0,28095,31.9,28095,1.004,1.004
75703,TX,83.0,44912,37.8,44912,3.5557,3.5557
75704,TX,5.0,9280,42.4,9280,0.0296,0.0296
75705,TX,1.0,1471,41.8,1471,0.0,0.0
75706,TX,10.0,10975,33.9,10975,0.0316,0.0316
75707,TX,34.0,16355,43.0,16355,3.2592,3.2592
75708,TX,1.0,10001,30.9,10001,0.0032,0.0032
75709,TX,8.0,5237,41.2,5237,0.0616,0.0616
75711,TX,0.0,159,19.5,159,0.0052,0.0052
75750,TX,4.0,3246,45.8,3246,3.0078,3.0078
75751,TX,20.0,18377,36.5,18377,3.8868,3.8868
75752,TX,11.0,7391,44.8,7391,0.1132,0.1132
75754,TX,8.0,7297,47.3,7297,4.905,4.905
75755,TX,3.0,4863,38.8,4863,3.0,3.0
75756,TX,9.0,4569,41.0,4569,4.1061,4.1061
75757,TX,44.0,13977,39.8,13977,9.0777,9.0777
75758,TX,8.0,10357,47.3,10357,6.0,6.0
75759,TX,1.0,197,64.6,197,2.9223,2.9223
75760,TX,9.0,2114,46.7,2114,3.0,3.0
75762,TX,39.0,14897,38.9,14897,0.7707,0.7707
75763,TX,6.0,6319,44.6,6319,9.2511,9.2511
75764,TX,0.0,170,27.9,170,1.6635,1.6635
75765,TX,16.0,8195,51.5,8195,6.0,6.0
75766,TX,32.0,25988,34.9,25988,5.6353,5.6353
75770,TX,7.0,2736,51.9,2736,5.1219,5.1219
75771,TX,21.0,21146,42.9,21146,6.9744,6.9744
75773,TX,22.0,14311,42.2,14311,4.0,4.0
75778,TX,10.0,2987,36.7,2987,5.9889,5.9889
75779,TX,0.0,51,48.7,51,0.8346,0.8346
75780,TX,0.0,391,27.3,391,1.6263,1.6263
75782,TX,1.0,98,64.0,98,0.6273,0.6273
75783,TX,7.0,8011,49.8,8011,3.0,3.0
75784,TX,2.0,539,45.4,539,3.0,3.0
75785,TX,14.0,10769,41.0,10769,4.0748999999999995,4.0748999999999995
75788,TX,0.0,52,,52,0.0,0.0
75789,TX,13.0,8332,39.5,8332,3.0,3.0
75790,TX,0.0,3790,38.1,3790,3.0,3.0
75791,TX,32.0,15320,35.3,15320,4.0032,4.0032
75792,TX,3.0,3934,38.1,3934,3.0,3.0
75801,TX,25.0,16891,35.2,16891,2.3916,2.3916
75803,TX,32.0,21390,41.2,21390,3.7738,3.7738
75831,TX,9.0,4769,41.8,4769,3.0,3.0
75833,TX,4.0,3143,45.7,3143,3.0,3.0
75835,TX,11.0,11805,45.8,11805,5.7715,5.7715
75838,TX,1.0,283,65.1,283,0.0,0.0
75839,TX,7.0,6577,39.3,6577,3.0,3.0
75840,TX,6.0,6993,40.3,6993,3.0,3.0
75844,TX,8.0,5004,45.9,5004,3.0,3.0
75845,TX,1.0,2287,45.9,2287,3.0,3.0
75846,TX,0.0,2561,41.2,2561,3.0,3.0
75847,TX,1.0,1441,43.5,1441,3.0,3.0
75848,TX,0.0,88,42.8,88,2.3763,2.3763
75849,TX,0.0,76,52.4,76,1.2285,1.2285
75850,TX,2.0,1407,48.8,1407,2.7417000000000002,2.7417000000000002
75851,TX,1.0,4292,42.7,4292,3.0,3.0
75852,TX,1.0,3166,34.4,3166,3.0,3.0
75853,TX,2.0,1008,37.3,1008,0.0,0.0
75855,TX,9.0,2779,56.5,2779,3.0,3.0
75856,TX,0.0,172,22.4,172,0.0,0.0
75858,TX,0.0,84,36.8,84,0.0,0.0
75859,TX,5.0,2468,55.4,2468,3.4455,3.4455
75860,TX,4.0,6451,38.7,6451,3.0,3.0
75861,TX,1.0,1225,39.9,1225,0.0,0.0
75862,TX,15.0,10030,51.8,10030,6.0,6.0
75865,TX,0.0,0,,0,0.0,0.0
75884,TX,0.0,3126,42.5,3126,0.0,0.0
75886,TX,0.0,2722,43.3,2722,0.0,0.0
75901,TX,14.0,28602,35.2,28602,3.4764,3.4764
75903,TX,0.0,107,66.1,107,0.0112,0.0112
75904,TX,52.0,33578,36.5,33578,8.5124,8.5124
75925,TX,3.0,3079,48.4,3079,3.0,3.0
75926,TX,0.0,1373,38.4,1373,0.0,0.0
75928,TX,0.0,936,56.6,936,0.0,0.0
75929,TX,2.0,1440,55.5,1440,2.6738999999999997,2.6738999999999997
